"","model","scenario","region","Variable","Unit","X2010","X2020","X2030","X2040","X2050","X2060","X2070","X2080","X2090","X2100"
"1","GCAM4","SSP3-Ref-SPA0-V17","Africa_Eastern","GDP|MER","billion US$2005/yr",117.52908,208.66566,347.99046,528.98298,789.74502,1152.16614,1650.1488,2303.1372,3110.6856,4085.0346
"2","GCAM4","SSP3-Ref-SPA0-V17","Africa_Eastern","GDP|PPP","billion US$2005/yr",314.2452619,557.9231538,930.4450714,1414.376723,2111.593408,3080.622688,4412.111809,6158.050012,8317.245494,10922.42675
"3","GCAM4","SSP3-Ref-SPA0-V17","Africa_Eastern","Population","million",258.513,334.652,425.047,521.493,623.004,722.591,816.235,904.911,985.733,1058.35
"4","GCAM4","SSP3-Ref-SPA0-V17","Africa_Eastern","Primary Energy","EJ/yr",4.38774879,6.258602513,8.760543656,11.8152464,15.86479693,21.13305105,27.71380036,35.62000056,44.69476233,54.9569931
"5","GCAM4","SSP3-Ref-SPA0-V17","Africa_Eastern","Primary Energy|Biomass","EJ/yr",3.559319,4.645755,5.492583,6.560225,7.738525,9.004513,10.401682,11.700182,12.817923,13.761757
"6","GCAM4","SSP3-Ref-SPA0-V17","Africa_Eastern","Primary Energy|Biomass|Traditional","EJ/yr",2.596709,2.974385,3.367863,3.651545,3.861545,4.004913,4.066812,4.049852,3.975653,3.865417
"7","GCAM4","SSP3-Ref-SPA0-V17","Africa_Eastern","Primary Energy|Biomass|w/ CCS","EJ/yr",0,0,0,0,0,0,0,0,0,0
"8","GCAM4","SSP3-Ref-SPA0-V17","Africa_Eastern","Primary Energy|Biomass|w/o CCS","EJ/yr",3.559319,4.645755,5.492583,6.560225,7.738525,9.004513,10.401682,11.700182,12.817923,13.761757
"9","GCAM4","SSP3-Ref-SPA0-V17","Africa_Eastern","Primary Energy|Coal","EJ/yr",0.0157631,0.165808,0.743718,1.50067,2.66195,4.42986,6.73369,9.79391,13.6961,18.7223
"10","GCAM4","SSP3-Ref-SPA0-V17","Africa_Eastern","Primary Energy|Coal|w/ CCS","EJ/yr",0,0,0,0,0,0,0,0,0,0
"11","GCAM4","SSP3-Ref-SPA0-V17","Africa_Eastern","Primary Energy|Coal|w/o CCS","EJ/yr",0.0157631,0.165808,0.743718,1.50067,2.66195,4.42986,6.73369,9.79391,13.6961,18.7223
"12","GCAM4","SSP3-Ref-SPA0-V17","Africa_Eastern","Primary Energy|Fossil","EJ/yr",0.7689724,1.4367586,2.8627923,4.588327,7.094287,10.62947,15.20583,21.08487,28.30842,37.00529
"13","GCAM4","SSP3-Ref-SPA0-V17","Africa_Eastern","Primary Energy|Fossil|w/ CCS","EJ/yr",0,0,0,0,0,0,0,0,0,0
"14","GCAM4","SSP3-Ref-SPA0-V17","Africa_Eastern","Primary Energy|Fossil|w/o CCS","EJ/yr",0.7689724,1.4367586,2.8627923,4.588327,7.094287,10.62947,15.20583,21.08487,28.30842,37.00529
"15","GCAM4","SSP3-Ref-SPA0-V17","Africa_Eastern","Primary Energy|Gas","EJ/yr",0.0238143,0.186063,0.635788,1.11909,1.66242,2.2081,2.65262,2.99959,3.38023,3.79736
